isin,tranches in same deal,deal_number,parse_notes,parse_notes
KR6029781A49,KR6029781A49,2394815,[],
KR6029782A48,KR6029781A49,2394815,[],
KR6029783A47,KR6029781A49,2394815,[],
KR6029784A46,KR6029784A46,2394816,[],
KR6029785A45,KR6029784A46,2394816,[],
KR6029786A44,KR6029784A46,2394816,[],
KR6029787A43,KR6029787A43,2394817,[],
KR6029788A42,KR6029787A43,2394817,[],
KR6150351A35,KR6150351A35,0,['cannot find issuer comanpy id 삼척블루파워'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6032711A14,KR6032711A14,2394818,[],
KR6032712A13,KR6032711A14,2394818,[],
KR6032713A12,KR6032711A14,2394818,[],
KR6032714A11,KR6032714A11,2394819,[],
KR6032715A10,KR6032714A11,2394819,[],
KR6032716A19,KR6032716A19,2394820,[],
KR6032717A18,KR6032716A19,2394820,[],
KR6032718A17,KR6032716A19,2394820,[],
KR6032711A30,KR6032711A30,2394821,[],
KR6032712A39,KR6032711A30,2394821,[],
KR6032713A38,KR6032711A30,2394821,[],
KR6032714A37,KR6032714A37,2394822,[],
KR6032715A36,KR6032714A37,2394822,[],
KR6032716A35,KR6032716A35,2394824,[],
KR6032717A34,KR6032716A35,2394824,[],
KR6032718A33,KR6032716A35,2394824,[],
KR6032719A32,KR6032719A32,2394825,[],
KR603271AA38,KR6032719A32,2394825,[],
KR603271BA37,KR603271BA37,2394826,[],
KR6032711A48,KR6032711A48,2394828,[],
KR6032712A47,KR6032711A48,2394828,[],
KR6032713A46,KR6032711A48,2394828,[],
KR6023781A18,KR6023781A18,2394829,[],
KR6023782A17,KR6023781A18,2394829,[],
KR6023783A16,KR6023781A18,2394829,[],
KR6023784A15,KR6023784A15,2394830,[],
KR6023785A14,KR6023785A14,2394831,[],
KR6023786A13,KR6023785A14,2394831,[],
KR6023781A26,KR6023781A26,2394832,[],
KR6023782A25,KR6023781A26,2394832,[],
KR6023783A24,KR6023783A24,2394833,[],
KR6023784A23,KR6023783A24,2394833,[],
KR6023785A22,KR6023783A24,2394833,[],
KR6023781A34,KR6023781A34,2394834,[],
KR6023782A33,KR6023781A34,2394834,[],
KR6023783A32,KR6023783A32,2394992,[],
KR6023784A31,KR6023783A32,2394992,[],
KR6023785A30,KR6023785A30,2394835,[],
KR6023786A39,KR6023785A30,2394835,[],
KR6023787A38,KR6023785A30,2394835,[],
KR6023788A37,KR6023788A37,2394836,[],
KR6023781A42,KR6023781A42,2394991,[],
KR6023782A41,KR6023782A41,2394837,[],
KR6023783A40,KR6023782A41,2394837,[],
KR6023784A49,KR6023782A41,2394837,[],
KR6000121A49,KR6000121A49,2394838,[],
KR6051501A18,KR6051501A18,2394839,[],
KR6028031A49,KR6028031A49,2394840,['no original book runner info'],
KR6033661A12,KR6033661A12,2394841,[],
KR6033662A11,KR6033661A12,2394841,[],
KR6033663A10,KR6033661A12,2394841,[],
KR6033664A19,KR6033661A12,2394841,[],
KR6033665A18,KR6033661A12,2394841,[],
KR6033666A17,KR6033666A17,2394842,[],
KR6033667A16,KR6033666A17,2394842,[],
KR6033668A15,KR6033666A17,2394842,[],
KR6033661A20,KR6033661A20,2394843,[],
KR6033662A29,KR6033661A20,2394843,[],
KR6033663A28,KR6033661A20,2394843,[],
KR6033661A38,KR6033661A38,2394844,[],
KR6033662A37,KR6033661A38,2394844,[],
KR6033663A36,KR6033661A38,2394844,[],
KR6033664A35,KR6033661A38,2394844,[],
KR6033665A34,KR6033661A38,2394844,[],
KR6136301A19,KR6136301A19,2394845,[],
KR6136302A18,KR6136301A19,2394845,[],
KR6136301A27,KR6136301A27,2394846,[],
KR6136302A26,KR6136301A27,2394846,[],
KR6136301A43,KR6136301A43,2394847,['no original book runner info'],
KR6185451A30,KR6185451A30,2394848,['no original book runner info'],
KR6056551A16,KR6056551A16,2394849,[],
KR6056552A15,KR6056551A16,2394849,[],
KR6056553A14,KR6056551A16,2394849,[],
KR6056554A13,KR6056551A16,2394849,[],
KR6000661A29,KR6000661A29,2394850,[],
KR6000662A28,KR6000661A29,2394850,[],
KR6000663A27,KR6000661A29,2394850,[],
KR6000664A26,KR6000661A29,2394850,[],
KR6195941A37,KR6195941A37,0,"['cannot find issuer comanpy id 에이치케이이노엔 주식회사', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6097241A16,KR6097241A16,2394851,[],
KR6097242A15,KR6097241A16,2394851,[],
KR6097243A14,KR6097241A16,2394851,[],
KR6097244A13,KR6097241A16,2394851,[],
KR6097241A24,KR6097241A24,2394852,[],
KR6097242A23,KR6097241A24,2394852,[],
KR6097243A22,KR6097241A24,2394852,[],
KR6097244A21,KR6097241A24,2394852,[],
KR6097241A32,KR6097241A32,2394853,[],
KR6097242A31,KR6097241A32,2394853,[],
KR6097243A30,KR6097241A32,2394853,[],
KR6097244A39,KR6097241A32,2394853,[],
KR6097245A38,KR6097241A32,2394853,[],
KR6097246A37,KR6097246A37,2394854,[],
KR6097247A36,KR6097246A37,2394854,[],
KR6097241A40,KR6097241A40,2394855,[],
KR6097242A49,KR6097242A49,2394856,[],
KR6097243A48,KR6097242A49,2394856,[],
KR6097244A47,KR6097244A47,2394857,[],
KR6097245A46,KR6097244A47,2394857,[],
KR6097246A45,KR6097246A45,2394858,[],
KR6097247A44,KR6097246A45,2394858,[],
KR6097248A43,KR6097246A45,2394858,[],
KR6104231A12,KR6104231A12,2394859,"['no original book runner info', 'no original book runner info']",
KR6104232A11,KR6104231A12,2394859,"['no original book runner info', 'no original book runner info']",
KR6048711A36,KR6048711A36,2394860,[],
KR6048712A35,KR6048711A36,2394860,[],
KR6149141A16,KR6149141A16,2394861,[],
KR6149142A15,KR6149141A16,2394861,[],
KR6153771A15,KR6153771A15,2394862,[],
KR6153772A14,KR6153771A15,2394862,[],
KR60315219C6,KR60315219C6,2394863,[],
KR6031521A16,KR6031521A16,2394864,[],
KR6031522A15,KR6031521A16,2394864,[],
KR6031523A14,KR6031523A14,2394865,[],
KR6031521A40,KR6031521A40,2394866,[],
KR6031522A49,KR6031522A49,2394867,[],
KR6095231A12,KR6095231A12,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6095232A11,KR6095231A12,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6095233A10,KR6095231A12,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6095234A19,KR6095231A12,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info', 'no original book runner info', 'no original book runner info', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6095231A20,KR6095231A20,0,"['cannot find issuer comanpy id 주식회사 애큐온캐피탈', 'no original book runner info']","<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6348001A21,KR6348001A21,0,['cannot find issuer comanpy id 주식회사 에스파워'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6348002A20,KR6348001A21,0,['cannot find issuer comanpy id 주식회사 에스파워'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6348003A29,KR6348001A21,0,['cannot find issuer comanpy id 주식회사 에스파워'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6348004A28,KR6348001A21,0,['cannot find issuer comanpy id 주식회사 에스파워'],"<Response [400]> b'{""Message"":""The request is invalid."",""ModelState"":{""deal.IssuerId"":[""IssuerId must be a positive number.""]}}'"
KR6063141A27,KR6063141A27,2394869,[],
KR6063142A26,KR6063141A27,2394869,[],
KR6021961A14,KR6021961A14,2394870,[],
KR6021962A13,KR6021961A14,2394870,[],
KR6021963A12,KR6021961A14,2394870,[],
