isin,tranches in same deal,deal_number,parse_notes,post_notes
KR601945D9C9,KR601945A9C2,2395437,[],
KR601945E9C8,KR601945A9C2,2395437,[],
KR601945F9C7,KR601945A9C2,2395437,[],
KR60645119A3,KR60645119A3,2395438,['no original book runner info'],
KR63161419A5,KR63161419A5,2395439,[],
KR63161419C1,KR63161419C1,2395440,[],
KR60000319A8,KR60000319A8,2395441,[],
KR60000329A7,KR60000329A7,2395442,[],
KR60000339A6,KR60000339A6,2395443,[],
KR61741419A8,KR61741419A8,2395444,[],
KR61741429A7,KR61741419A8,2395444,[],
KR61741439A6,KR61741419A8,2395444,[],
KR61741449A5,KR61741449A5,2395446,[],
KR61741459A4,KR61741449A5,2395446,[],
KR61741419B6,KR61741419B6,2395447,[],
KR61741429B5,KR61741419B6,2395447,[],
KR61741439B4,KR61741419B6,2395447,[],
KR61741449B3,KR61741449B3,2395448,[],
KR61741459B2,KR61741449B3,2395448,[],
KR61741419C4,KR61741419C4,2395449,[],
KR61741429C3,KR61741429C3,2395450,[],
KR61741439C2,KR61741429C3,2395450,[],
KR61401719A2,KR61401719A2,2395451,[],
KR61401729A1,KR61401719A2,2395451,[],
KR61401739A0,KR61401719A2,2395451,[],
KR61401749A9,KR61401719A2,2395451,[],
KR61401759A8,KR61401759A8,2395452,[],
KR61401769A7,KR61401759A8,2395452,[],
KR61401779A6,KR61401779A6,2395453,[],
KR61401789A5,KR61401779A6,2395453,[],
KR61401799A4,KR61401779A6,2395453,[],
KR61401719B0,KR61401719B0,2395454,[],
KR61401729B9,KR61401719B0,2395454,[],
KR61401739B8,KR61401739B8,2395455,[],
KR61401749B7,KR61401739B8,2395455,[],
KR61401759B6,KR61401759B6,2395456,[],
